title,url,summary,top_tag,middle_tags
「キミはせかいのはじまりをしっているか」～ポケモン本編の悪の組織とは～【リモポケ学会#4】,https://www.youtube.com/watch?v=tYP62qoR0Bw,このプレゼンテーションでは、ポケモンの世界における悪の組織について話されています。悪の組織はゲーム内で主人公と敵対し、ストーリーの展開上で重要な役割を果たしています。具体的には、ロケット団やプラズマ団などが取り上げられ、彼らがポケモンを利用して世界を支配しようとしていることが紹介されています。また、悪の組織の目的や思想の違い、ポケモンと人間の関係についても考えさせられる内容です。さらに、地方の中枢に影響力を持つ組織や共同体から外れた存在としての悪の組織についても触れられています。このプレゼンテーションは、ポケモンの世界観や悪の組織についての理解を深めるためのものであり、子供たちにとっても重要な要素となっています。,ポケモンと人間,"['#ポケモン悪の組織', '#ポケモンと人間の関係', '#ポケモン世界観']"
「伝説の鳥ポケモン」とは何か～ファイヤーは既に進化したポケモンである～【リモポケ学会#3】,https://www.youtube.com/watch?v=C_8lQ0Epy7E,このプレゼンテーションでは、伝説の鳥ポケモンについて詳しく説明されています。伝説の鳥ポケモンはお互いに接点を持っておらず、共通する伝説もありません。それぞれが独自の姿や特徴を持ち、個別の出来事や記録が存在します。また、ポケモンのエムリットクレセリアについても話されており、同族である可能性が示唆されています。さらに、ポケモンの進化やリージョンフォームによる関係性や、キャンプ判定法を用いた関係の判断方法も紹介されています。プレゼンテーションの結論として、ポケモンの可能性はまだまだ広がっており、今後の発展に期待が寄せられています。,ポケモンの進化・生態,"['#伝説のポケモン', '#ポケモンの進化', '#リージョンフォーム', '#伝説の鳥ポケモン']"
『ティラノサウルスの化石』を探しに行こう【リモポケ学会#3】,https://www.youtube.com/watch?v=BhSinaoJM4c,このプレゼンテーションでは、ポケモンの世界観について話されています。ポケモンの世界は、人とポケモンによって構成されており、他の動物は存在しません。しかし、幻のポケモン映画のプロットでは、ポケモンの世界に実在したティラノサウルスの化石が発見されるという設定があります。このプロットは、ポケモンの世界観に切り込む試みであり、ポケモンの進化論や動物の存在について疑問を投げかけています。また、ポケモンの世界におけるティラノサウルスの化石の問題についても話されています。ティラノサウルスの化石がポケモンの世界を破壊し、ポケモンと人間の存在が危うくなるという危機感が伝えられています。さらに、ポケモンの世界における新たな挑戦や進化論についても話されており、従来のポケモンの常識を崩すような要素が取り入れられています。プレゼンテーションの結論として、ポケモンの世界と現実の世界を比較しながら、ポケモンの世界に深く入り込んでいくことを目指して制作されたことが伝えられています。また、ポケモンに関する新しい発表も行われ、化石博物館の影響を受けたポケモンやゴーストタイプのポケモンについても話されました。最後に、関係者やスタッフに感謝の意が述べられました。,ポケモンの進化・生態,"['#ポケモン進化論', '#ポケモンの生態学', '#ポケモンと現実世界の比較', '#ポケモンの化石']"
『未知』の存在について【リモポケ学会#2】,https://www.youtube.com/watch?v=RlUth3y71QY,このプレゼンテーションでは、ポケモンの一種である「アンノウン」についての情報が紹介されました。アンノウンはポケモンの世界で謎に包まれた存在であり、文字のような姿をしています。彼らは特定の場所にのみ出現し、安納文字と呼ばれる文字が刻まれています。この文字にはアンノウンについての重要な情報が含まれており、彼らと共に歩むことが必要とされています。プレゼンテーションでは、アンノウンの謎についての考察や解釈が提示され、興味深い情報が提供されました。また、ポケモンに関するさまざまな要素についても話されました。具体的には、ポケモンの文字や言葉、ポケモン図鑑の英単語の意味、展示文明や安納の関連性、ポケモンの感情や神の力などが述べられました。さらに、ポケモンの世界における独自の文字の存在や、ポケモンのシンボルがナスカの地上絵に似ていることから、象形文字から文化が生まれる可能性も考えられました。プレゼンテーションは非常に興味深く、参加者同士のコミュニケーションを広げる機会となりました。,ポケモンに関する深い考察,"['#アンノウン', '#ポケモンの言語', '#ポケモンの深層', '#ポケモン世界観']"
&quot;今&quot;をトキメク　1/8192の世界【リモポケ学会#2】,https://www.youtube.com/watch?v=PCElzkYT78k,このプレゼンテーションでは、ポケモンの色違いについて紹介されました。色違いのポケモンは珍しく、出会った時にはとても嬉しいものです。また、色違いのポケモンは個々のプレイヤーにとって特別な思い出を作ることができます。プレゼンテーションでは、過去作での色違いの入手方法や種類について詳しく説明されました。さらに、色違いのポケモンはプレイヤーの愛着を育む要素となっています。また、プレゼンテーションでは、色違いの出現方法や固定リセットの方法についても説明されました。さまざまな方法で色違いを狙うことができるので、興味がある方はチャレンジしてみることをおすすめします。さらに、プレゼンテーションでは、ポケモンに関するさまざまな情報が紹介されました。ポケモンのゲームソフトの中古市場で改造されたROMが出回っていることや、希少なポケモンの入手方法についても触れられました。最後に、プレゼンターは自身の経験や好きなポケモンについて語り、色違いポケモンの魅力や出現に関する質問に答えました。全体として、ポケモンに興味がある人にとって役立つ情報が提供されました。,ポケモンの進化・生態,"['#色違いポケモン', '#色違いポケモンの入手方法', '#ポケモン情報']"
96～&#39;99 ポケモンホビーを共に振り返ろう【リモポケ学会#5】,https://www.youtube.com/watch?v=f29jmmz77N4,"このプレゼンテーションでは、アガリクスキノコさんが1996年から1999年のポケモンのホビーについて振り返り、ポケモンのホビーに懐かしさを感じることが鎮痛効果をもたらす可能性があると述べています。また、90年代のポケモン関連コンテンツの発表時期やメディアミックスの展開について説明し、ポケモンカードゲームやポケモンセンターの開業などの重要な出来事を紹介しています。さらに、自身がポケモンに触れた最初の媒体がホビーであったことや、初期のポケモングッズの特徴や模倣品の存在についても触れています。

このプレゼンテーションでは、ポケモンに関する情報が紹介されており、株式会社ポケモンの設立やポケモンセンターの運営、ポケモンの商品展開などが説明されています。また、ポケモンのグッズやゲームについても触れられており、過去の商品やフィギュアについても紹介されています。さらに、ポケモンを通じて現実世界と仮想世界を豊かにすることを目指していることや、ポケモンを永続的なブランドに育てるための戦略も述べられています。

このプレゼンテーションでは、ポケモンに関する商品やコレクションについて話されており、プラモデルやポケモンキット、ポケモンスタンプ、ポケモンカレーなどが紹介されています。また、ポケモンの立体化についての希望や、ポケモンセンターのミッションについても言及されています。質疑応答では、ポケモンスタンプやポケモンハッチ、ポケモンカレーのメインコアやメダルについての質問がありました。

このプレゼンテーションでは、ポケモンに関する様々なグッズや商品について紹介されており、ポケモンのメダルやポケモンキット、ポケモンカレーやポケモンふりかけなどが取り上げられています。また、ポケモンがなぜ人気を集めたのかについても解説されており、怪獣系のポケモンが特に人気であったことや、ポケモンがどのように生み出されたのかについても触れられています。最後には、ポケモン全史についてのプレゼンテーションが行われ、ポケモンの誕生の経緯や人気の理由が解説されました。",商品・経済,"['#ポケモンカードゲーム', '#ポケモンセンター', '#ポケモングッズ', '#ポケモンホビー', '#ポケモン商品展開']"
AIは「ふしぎな生きもの」の夢を見るか【リモポケ学会#6】,https://www.youtube.com/watch?v=z4XULbTxi3c,このプレゼンテーションでは、AIを使ったポケモンに関する研究について紹介されました。具体的には、ポケモンの進化の途中経過を推論する実験やポケモンのイラストや模様を生成する実験が行われました。また、ポケモンに関するAIの挙動やポケモンと人間の関係についても議論されました。さらに、ポケモンの色彩の変化や鳴き声の生成についても触れられました。AIの技術の進化により、ポケモンに関する新たな可能性や創造性が広がる一方で、倫理的な観点やセーフティにも注意が必要です。,技術・研究,"['#AIとポケモン', '#ポケモン研究', '#AIポケモン研究']"
AR写真をはじめよう！夢と冒険とポケットモンスターの世界へ！【リモポケ学会#3】,https://www.youtube.com/watch?v=-IcrOK4bWws,このプレゼンテーションでは、ポケモンゴーのAR写真の魅力について説明されました。AR写真は現実の風景にポケモンを合成することで、自分の足でフィールドを広げる楽しみやポケモンの生き生きとした姿を撮影することができます。一方、新しいポケモンスナップはゲーム内でポケモンの楽園が広がり、高層やギミックなどが作り込まれているため、ポケモン好きにはたまらない楽しさがあります。ポケモンゴーのAR写真撮影のコツとして、光の状態や背景の選び方、ポケモンの色と背景の色の合わせ方、撮影の角度やポケモンの大きさの調整が紹介されました。さらに、季節や場所によってさまざまなポケモンを撮影することができます。プレゼンテーションでは、質問や意見を受け付けており、参加者からの質問にも答えられました。,その他,"['#ポケモンゴーAR写真', '#ポケモンスナップ']"
GO TO MASUDA【リモポケ学会#2】,https://www.youtube.com/watch?v=9yb4cPXmbWA,このプレゼンテーションでは、ポケモン制作者の増田順一氏の聖地巡礼についての考察が中心となっています。増田氏の研究や考察はポケモンを知るための重要な情報源であり、彼の投稿された写真が新作ポケモンの複製であることも示唆されています。また、プレゼンテーションでは、増田氏の聖地巡礼についての経験や効果についても説明されています。さらに、関西地方や神奈川県などのポケモンに関連する場所や、ポケモンに関する情報やトピックが紹介されました。プレゼンテーションの最後では、ポケモン勢にとっての特別な日やポケモンファンが選ぶランチの場所も紹介されました。全体的に、ポケモンに関する情報や増田氏の経験についての興味深い内容が含まれていました。,ポケモン文化・社会,"['#増田純一（ポケモンのクリエイター）', '#新作ポケモンのヒント', '#増田順一聖地巡礼']"
LEGENDSアルセウス コトブキムラ住民動態【リモポケ学会#3】,https://www.youtube.com/watch?v=aiwbMUK7Jo0,ポケモン Legends Arceusのプレゼンテーションでは、新しい要素やゲームの楽しみ方について説明されました。フィールドでのポケモンライドやバトル、色違いポケモンの出現などが紹介されました。また、現実世界との関連性や植物の観察、写真の撮影会なども楽しめると述べられました。さらに、ポケモンと人の出会いや認識の変化についても触れられ、メイン任務とサブ任務の進行によって住民の態度や行動が変化することが説明されました。時間帯やサブ任務の発生条件、建造物の増築なども紹介され、プレゼンテーションは具体的なデータやグラフを用いて説明されました。このプレゼンテーションでは、ポケモンに関する情報が提供されています。ポケモンの供給が安定し、受け入れ数も増えたことが示唆されています。住民の構成や年齢構成についてのデータも示され、子供の数が少ないことや高齢者の割合が比較的高いことが分かります。また、住民の動きや特定の住民の変化についても説明されています。さらに、村彦ムラムラ1道彦に関する調査結果や製造タイの街の住民についても触れられています。このプレゼンテーションでは、ポケモンに関するさまざまな要素が紹介されました。まず、貴音というキャラクターとその相棒のグレッグについて言及されました。また、ポケモンセンターの設置やラッキーハピナスの加入など、ゲーム内の出来事についても触れられました。さらに、ポケモンと人との関わりについて考える必要があるというメッセージも伝えられました。共存共栄や文化交流の重要性が強調され、サブ任務やキャラクターの行動からもそれが示唆されました。最後に、プレゼンテーションの内容がポケモン学会で発表されることになった経緯も説明されました。プレゼンターはポケモンの新作ゲームについて話し、ウルトラビーストやポケモンのテーマについて考察しました。また、プレイの感想やパーティの選び方についても話しました。参考にした情報源や攻略本についても触れられました。最後に、質問や感想を募り、プレゼンテーションを締めくくりました。このように、ポケモン Legends Arceusのプレゼンテーションでは、新しい要素やゲームの楽しみ方、ポケモンと人の関わり、ポケモンの供給や住民の構成など、さまざまな情報が提供されました。,ポケモンというゲーム・その戦略,"['#ポケモン戦略', '#ゲーム戦略', '#ポケモンLegendsArceus', '#ゲームプレイ']"
